model,attack,epsilon,distance_class_0,distance_class_1,wasserstein_class0,wasserstein_class1
spambase_generic_800,FGSM,0.01,1.5742961168289185,1.4015885591506958,0.3225318181325551,0.3077090344127955
spambase_generic_800,FGSM,0.05,1.3879483938217163,1.556364893913269,0.296649004237025,0.31684484787737
spambase_generic_800,FGSM,0.1,1.7917648553848267,1.329395055770874,0.3188504202106746,0.29813230292764054
spambase_generic_800,DF_L2,0.01,1.5000561475753784,1.4840887784957886,0.31438437584048695,0.3613766043208608
spambase_generic_800,DF_L2,0.05,1.4311524629592896,1.1248048543930054,0.3130198065824646,0.30173320438762735
spambase_generic_800,DF_L2,0.1,1.8322982788085938,1.1745566129684448,0.31924731874960505,0.29050725180764003
spambase_generic_800,DF_Linf,0.01,1.7732203006744385,1.56885826587677,0.3397196301357477,0.317001246138725
spambase_generic_800,DF_Linf,0.05,1.3107550144195557,1.4633983373641968,0.2865704524004516,0.30175195970666163
spambase_generic_800,DF_Linf,0.1,1.6833407878875732,1.6391483545303345,0.32726757670077206,0.31422294324777245
spambase_generic_800,BIM_Linf,0.01,1.988518476486206,1.2210506200790405,0.32933962866621497,0.29358779347439723
spambase_generic_800,BIM_Linf,0.05,1.3794364929199219,1.383617877960205,0.3090107766121023,0.30617945731476304
spambase_generic_800,BIM_Linf,0.1,1.3728067874908447,1.3721179962158203,0.32621148653185,0.3143137407632379
spambase_generic_900,FGSM,0.01,1.4252357482910156,1.8647992610931396,0.28809064816033136,0.333619866529179
spambase_generic_900,FGSM,0.05,1.3093130588531494,1.5937131643295288,0.2880407642934329,0.3192923238381133
spambase_generic_900,FGSM,0.1,1.3379859924316406,1.719325304031372,0.29862257250433294,0.3453854460668507
spambase_generic_900,DF_L2,0.01,1.4625283479690552,1.3831998109817505,0.3185840228466762,0.32183720697354884
spambase_generic_900,DF_L2,0.05,1.1935913562774658,1.3706732988357544,0.29414826907734515,0.3083043194178459
spambase_generic_900,DF_L2,0.1,1.348793387413025,1.4447321891784668,0.3207731784091992,0.35557076341496535
spambase_generic_900,DF_Linf,0.01,1.2454724311828613,1.4379948377609253,0.2644860572220227,0.3042703760301738
spambase_generic_900,DF_Linf,0.05,1.398486852645874,1.5455615520477295,0.2763112380697998,0.3173650710601752
spambase_generic_900,DF_Linf,0.1,1.3465898036956787,1.5854226350784302,0.28183239831818363,0.31070495662478526
spambase_generic_900,BIM_Linf,0.01,1.2197139263153076,1.6528542041778564,0.28503642135117035,0.33386886577967495
spambase_generic_900,BIM_Linf,0.05,1.2171573638916016,1.4989111423492432,0.2882842466103841,0.32578980783747563
spambase_generic_900,BIM_Linf,0.1,1.3321714401245117,1.6517000198364258,0.29246307891865714,0.33216344677879583
spambase_generic_1000,FGSM,0.01,1.3606884479522705,1.4476606845855713,0.2992518116942978,0.3123089000851741
spambase_generic_1000,FGSM,0.05,1.542810082435608,1.5237473249435425,0.30998433334464653,0.31523187512943507
spambase_generic_1000,FGSM,0.1,1.4317164421081543,1.4943208694458008,0.2916984436768023,0.30994528685565714
spambase_generic_1000,DF_L2,0.01,1.1432878971099854,1.8987057209014893,0.32262916321877727,0.34308066640422274
spambase_generic_1000,DF_L2,0.05,1.7926145792007446,1.3214097023010254,0.34317647255162753,0.3034707979034133
spambase_generic_1000,DF_L2,0.1,1.4520803689956665,1.449886679649353,0.34716435875638463,0.3377104738405464
spambase_generic_1000,DF_Linf,0.01,1.5574947595596313,1.5840206146240234,0.29193722145907725,0.30545326645641213
spambase_generic_1000,DF_Linf,0.05,1.692162275314331,1.4559369087219238,0.2971396385032476,0.3011098932130453
spambase_generic_1000,DF_Linf,0.1,1.6623622179031372,1.5108665227890015,0.2948679818511212,0.30570673117574354
spambase_generic_1000,BIM_Linf,0.01,1.4162306785583496,1.8285644054412842,0.27939181138178065,0.3417185868256385
spambase_generic_1000,BIM_Linf,0.05,2.0423450469970703,1.5226324796676636,0.3286950672302246,0.3117345227099709
spambase_generic_1000,BIM_Linf,0.1,1.4241219758987427,1.8336728811264038,0.28843799131879677,0.3125042423340545
